Name,Latitude,Longitude
Mass Ave at Broadway,42.41420213,-71.15051883
Mass Ave at Grafton St,42.40726052,-71.14382132
Mass Ave at Hadley/Walden,42.39120972,-71.12260755
Mass Ave T Station,42.34135616,-71.08336953
Massachusetts Ave at Columbus Ave,42.340814,-71.0816197
Mattapan Library,42.2773889,-71.09325
Mattapan T Stop,42.267902,-71.093641
Maverick Square - Lewis Mall,42.36884408,-71.03977829
Maverick St at Massport Path,42.36774122,-71.03335975
Mayor Salvo Path at Mill St,42.5180352,-70.89570075
Medford Sq - Riverside Ave at River St,42.417724,-71.108102
Medford St at Charlestown BCYF,42.38042947,-71.06055722
MIT at Mass Ave / Amherst St,42.3581,-71.093198
MIT Carleton St at Amherst St,42.36054174,-71.08669817
MIT Hayward St at Amherst St,42.36085937,-71.08551858
MIT Pacific St at Purrington St,42.3595732,-71.10129476
MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601
MIT Vassar St,42.35560121,-71.10394478
MLK Blvd at Washington St,42.32143814,-71.09126061
Morton St at Gallivan Blvd,42.278747,-71.080286
Morton St T,42.28072514,-71.08617242
Mt Auburn,42.37478629,-71.13320231
Mt. Hope St at Hyde Park Ave,42.28484472,-71.11874517
Mugar Way at Beacon St,42.35553628,-71.0728687
Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739
Museum of Science,42.36769018,-71.07116282
Nashua Street at Red Auerbach Way,42.365673,-71.064263
NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946
New Balance - 20 Guest St,42.35732922,-71.1467354
Newbury St at Hereford St,42.348717,-71.085954
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498
Newton Highlands T,42.32206566,-71.20637298
Newton Library,42.33620337,-71.20779455
Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637
Nonantum Library,42.36068456,-71.201462
Northbourne Rd at Hyde Park Ave,42.29118035,-71.11773666
Northeastern University - North Parking Lot,42.341814,-71.090179
Northern Strand at Main St,42.42386,-71.067793
Oak Square - 615 Washington St,42.35057,-71.166491
Old Morse Park at Putnam Ave,42.35766248,-71.10841334
One Beacon St,42.35847764,-71.0613513
One Brigham Circle,42.3339227,-71.10446509
One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072
One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
One Memorial Drive,42.36161932,-71.08043551
Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098
Orr Sq (Shirley Ave),42.40715656,-70.9927243
Packard Ave at Powderhouse Blvd,42.40449,-71.123413
Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831
Park Dr at Buswell St,42.347241,-71.105301
Park Plaza at Charles St S.,42.35182807,-71.06781138
Park St at Norwell St,42.29442579,-71.07821761
Perry Park,42.37927325,-71.10341903
Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705
Piers Park,42.3650112,-71.03528559
Porter Square Station,42.387995,-71.119084
Porzio Park,42.36411904,-71.02876782
Post Office Square,42.35585436,-71.05459746
Powder House Circle - Nathan Tufts Park,42.400877,-71.116772
Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777
Purchase St at Pearl St,42.354659,-71.053181
Railroad Lot and Minuteman Bikeway,42.41606457,-71.15336637
Raymond Park at Walden St,42.38736954,-71.12761001
Revere City Hall,42.40741,-71.0139
Revere Public Library,42.408088,-71.008942
Rindge Avenue - O'Neill Library,42.392766,-71.129042
Ring Rd,42.34827839,-71.08044855
Rogers St & Land Blvd,42.36644674,-71.07654601
Roseland St At Dorchester Ave,42.29116853,-71.0630089
Roslindale Village - South St,42.287072,-71.127754
Roslindale Village - Washington St,42.28630716,-71.12820532
Ross Playground,42.2645666,-71.1145523
Rowes Wharf at Atlantic Ave,42.357143,-71.050699
Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171
Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664
S Huntington Ave at Heath St,42.32760387,-71.1108917
Salem Ferry Landing,42.52189284,-70.88069111
Salem MBTA - Lower Level,42.523994,-70.89684
Salem MBTA - Washington at Federal St,42.52345239,-70.89611113
Salem State University - Bike Path at Loring Ave,42.50182399,-70.89478076
Salem State University - North Campus,42.503332,-70.891444
Salem Willows Park,42.53466911,-70.8702144
Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539
Seaport Blvd at Sleeper St,42.35317809,-71.04817357
Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744
Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085
Sennott Park Broadway at Norfolk Street,42.36860524,-71.09930186
Shawmut Ave at Lenox St,42.33584613,-71.08038157
Shawmut Ave at Oak St W,42.34854543,-71.06559185
Shawmut T Stop,42.292917,-71.06575
Shetland Park - Congress at Peabody St,42.51836788,-70.88952363
Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405
Silber Way,42.349496,-71.10057592
Smith Pl at Wilson Rd,42.39239749,-71.15058332
Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757
Somerville City Hall,42.386844,-71.09812
Somerville City Hall Annex,42.39189812,-71.09745376
Somerville High School & Central Library,42.3864,-71.09601
Somerville Hospital,42.39044622,-71.10856622
South Boston Library - 646 E Broadway,42.335741,-71.03877
South End Library - Tremont St at W Newton St,42.341332,-71.076847
South Station - 700 Atlantic Ave,42.352175,-71.055547
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927
Spring St at Powell St,42.27748444,-71.16341468
St Mary's,42.34619708,-71.10728681
St. Alphonsus St at Tremont St,42.33329255,-71.10124648
State Street at Channel Center,42.344137,-71.052608
Stony Brook T Stop,42.316966,-71.104374
Stuart St at Berkeley St,42.34954403,-71.07242074
Stuart St at Charles St,42.351146,-71.066289
Sullivan Square,42.38445226,-71.07514855
Sumner St at Shirley Ave,42.40833706,-70.99804848
Surface Rd at India St,42.358155,-71.052163
Surface Rd at Summer St,42.3529457,-71.05656401
Swan St. Park,42.41250451,-71.05842225
Sydney St at Carson St,42.32039374,-71.05355408
Talbot Ave At Blue Hill Ave,42.2945833,-71.087111
Tappan St at Brookline Hills MBTA,42.33137017,-71.12688361
Teele Square,42.40231703,-71.12671129
The Dimock Center,42.31930943,-71.09639924
The Eddy - New St at Sumner St,42.370744,-71.044201
The Lawn on D,42.344792,-71.044024
The Overlook at St. Gabriel's,42.34679008,-71.14549814
Thetford Ave at Norfolk St,42.28621295,-71.07942931
